Ref,Val,Package,PosX,PosY,Rot,Side
"J1","GC9A01_8P","PinHeader_1x08_P2.54mm_Vertical",164.500000,-87.110000,180.000000,bottom
"SW1","Shutter","SW_PUSH_6mm_H5mm",119.000000,-83.500000,180.000000,bottom
"SW2","Modo","SW_PUSH_6mm_H5mm",119.000000,-94.000000,180.000000,bottom
